teryt6,name,population,area_km2,lat,lng
080408,Siedlisko,3580,92.17,51.767595,15.832402
080801,Lubrza,3567,122.218,52.306802,15.425884
080802,Łagów,4947,199.123,52.313642,15.296947
080803,Skąpe,5103,181.421,52.161896,15.434498
080804,Szczaniec,3836,113.324,52.257759,15.67962
080805,Świebodzin,29984,226.458,52.247792,15.529355
080806,Zbąszynek,8353,94.074,52.248868,15.812611
080901,Babimost,6226,92.779,52.165686,15.82758
080902,Bojadła,3277,102.271,51.967447,15.798363
080903,Czerwieńsk,9979,195.485,52.012105,15.400691
080904,Kargowa,5821,128.522,52.071216,15.858187
080905,Nowogród Bobrzański,9441,259.656,51.800259,15.242636
080906,Sulechów,26521,236.694,52.078498,15.615132
080907,Świdnica,6602,160.892,51.902418,15.384333
080908,Trzebiechów,3371,80.963,52.016507,15.731061
080909,Zabór,4321,93.37,51.94529,15.690406
081001,Gozdnica,3000,23.932,51.436304,15.093254
081002,Żagań,25668,40.379,51.615861,15.314484
081003,Brzeźnica,3733,122.192,51.706874,15.418894
081004,Iłowa,6842,153.059,51.505157,15.195553
081005,Małomice,5174,79.595,51.555373,15.448816
081006,Niegosławice,4357,136.358,51.605745,15.726168
081007,Szprotawa,20610,232.328,51.561942,15.543812
081008,Wymiarki,2263,63.087,51.512813,15.086247
081009,Żagań,7306,280.643,51.622978,15.390559
081101,Łęknica,2459,16.432,51.539607,14.738551
081102,Żary,37304,33.242,51.636355,15.131012
081103,Brody,3404,240.156,51.762367,14.704723
081104,Jasień,6991,126.867,51.75397,15.015363
081105,Lipinki Łużyckie,3375,88.632,51.639238,14.994429
081106,Lubsko,18404,182.968,51.785752,14.967509
081107,Przewóz,3132,178.261,51.486229,14.9573
081108,Trzebiel,5668,166.49,51.612191,14.815361
081109,Tuplice,3042,65.855,51.677423,14.839233
081110,Żary,12332,293.914,51.650907,15.147191
081201,Sława,12682,327.091,51.882567,16.074111
081202,Szlichtyngowa,5015,99.756,51.7263,16.243201
081203,Wschowa,21134,197.465,51.808062,16.312237
086201,Zielona Góra,141222,278.318,51.936196,15.50119
300601,Jaraczewo,8142,133.113,51.954974,17.334428
300602,Jarocin,45731,200.121,51.966004,17.504431
300603,Kotlin,7442,83.927,51.922486,17.647139
300604,Żerków,10248,171.327,52.070493,17.576386
300701,Blizanów,9940,157.514,51.857939,18.030757
300702,Brzeziny,5817,126.965,51.597194,18.2568
300703,Ceków-Kolonia,4746,88.292,51.856912,18.265548
300704,Godziesze Wielkie,9591,105.347,51.643705,18.141967
300705,Koźminek,7547,88.48,51.795708,18.33296
300706,Lisków,5213,75.74,51.841043,18.3935
300707,Mycielin,4873,110.893,51.951741,18.223693
300708,Opatówek,10808,104.301,51.739265,18.208409
300709,Stawiszyn,7133,78.195,51.931003,18.123974
300710,Szczytniki,7812,110.701,51.693076,18.336572
300711,Żelazków,9546,113.653,51.822867,18.14816
300801,Baranów,7987,74.412,51.255726,18.014239
300802,Bralin,6100,85.355,51.28214,17.90385
300803,Kępno,24482,123.858,51.28505,17.991024
300804,Łęka Opatowska,5356,77.688,51.214371,18.123256
300805,Perzów,3777,75.343,51.266428,17.809037
300806,Rychtal,3804,96.614,51.145053,17.869064
300807,Trzcinica,4945,75.042,51.179534,18.014198
301201,Sulmierzyce,2851,29.205,51.607612,17.524512
301202,Kobylin,8090,112.115,51.722404,17.225727
301203,Koźmin Wielkopolski,13211,152.406,51.830472,17.448197
301204,Krotoszyn,40341,255.798,51.698826,17.435954
301205,Rozdrażew,5204,79.048,51.784794,17.508456
301206,Zduny,7577,84.981,51.650523,17.368842
301701,Ostrów Wielkopolski,71931,41.916,51.647106,17.815521
301702,Nowe Skalmierzyce,15563,125.398,51.707993,17.991217
301703,Odolanów,14655,136.106,51.577716,17.663041
301704,Ostrów Wielkopolski,19147,207.802,51.651076,17.875392
301705,Przygodzice,12179,163.359,51.58582,17.811524
301706,Raszków,11849,134.577,51.721121,17.726047
301707,Sieroszewice,9684,163.19,51.624252,18.01118
301708,Sośnie,6573,187.738,51.471916,17.62659
301801,Czajków,2490,70.798,51.489865,18.327123
301802,Doruchów,5383,99.515,51.418668,18.077836
301803,Grabów nad Prosną,7817,123.776,51.499064,18.108891
301804,Kobyla Góra,6139,129.278,51.377626,17.833183
301805,Kraszewice,3621,74.916,51.513065,18.231023
301806,Mikstat,6046,87.192,51.535311,17.98923
301807,Ostrzeszów,24004,187.374,51.427367,17.923098
302001,Chocz,4753,73.646,51.976537,17.871602
302002,Czermin,4947,98.084,51.973485,17.7646
302003,Dobrzyca,8128,116.859,51.859349,17.611596
302004,Gizałki,4602,108.415,52.050353,17.772605
302005,Gołuchów,10777,135.89,51.824819,17.951395
302006,Pleszew,29807,180.317,51.890403,17.780855
306101,Kalisz,100246,69.367,51.754616,18.075536
300301,Gniezno,68217,40.595,52.539054,17.603273
300302,Czerniejewo,7405,111.939,52.439596,17.531515
300303,Gniezno,12268,178.149,52.565303,17.601198
300304,Kiszkowo,5443,114.495,52.59313,17.281624
300305,Kłecko,7452,131.922,52.621342,17.435573
300306,Łubowo,6743,113.536,52.506797,17.431831
300307,Mieleszyn,4038,98.927,52.666655,17.526259
300308,Niechanowo,5965,105.574,52.462826,17.658974
300309,Trzemeszno,14294,175.229,52.563342,17.82526
300310,Witkowo,13593,184.593,52.43783,17.766357
300901,Koło,21686,13.861,52.201899,18.63513
300902,Babiak,7831,133.768,52.346368,18.678163
300903,Chodów,3005,77.794,52.248669,19.014516
300904,Dąbie,6284,130.316,52.099503,18.817258
300905,Grzegorzew,5693,73.322,52.208485,18.74406
300906,Kłodawa,12801,128.909,52.250852,18.910957
300907,Koło,7795,102.579,52.21013,18.659336
300908,Kościelec,6855,104.65,52.170257,18.590934
300909,Olszówka,4502,81.703,52.185741,18.871604
300910,Osiek Mały,6155,87.322,52.26499,18.594466
300911,Przedecz,4120,76.448,52.336354,18.901245
301001,Golina,12079,98.989,52.244136,18.102924
301002,Grodziec,5160,117.821,52.048864,18.041006
301003,Kazimierz Biskupi,11487,107.616,52.300728,18.172807
301004,Kleczew,9947,110.292,52.371051,18.17549
